cell,EODf,a_zero,delta_a,dend_tau,input_scaling,mem_tau,noise_strength,ref_period,deltat,tau_a,threshold,v_base,v_offset,v_zero
2010-11-08-al-invivo-1,744.66,9.450855200303527,0.060498440079361865,0.0007742334994649853,31.363843698084207,0.0017257848281706928,0.012409100812593247,0.0010273077926126455,5e-05,0.10223865531575653,1,0,-0.390625,0
2011-10-25-aa-invivo-1,724.94,17.324840755350014,0.05919135682592931,0.004176595598821974,126.0907181735006,0.0011845579843807095,0.02409988212415924,0.0006959832098553865,5e-05,0.10891426770113852,1,0,-23.046875,0
2011-10-25-ad-invivo-1,760.50,42.322806986231576,0.1128743560865006,0.004980470281786894,275.52394339936325,0.0023119383270376647,0.03633962163005618,0.0009167762282024045,5e-05,0.06416701856873613,1,0,-43.359375,0
2012-04-20-ad-invivo-1,811.57,61.15542998217432,0.18099114092280794,0.006549954587111268,317.4201379309943,0.0014460502988963755,0.03508490455171905,0.001007048276989675,5e-05,0.1718068006049748,1,0,-39.84375,0
2012-04-20-af-invivo-1,800.03,8.666272965511395,0.022425435260594734,0.0020948092014818585,90.3326105895584,0.0011619511953103417,0.023204703121166424,0.0004258027499815768,5e-05,0.09622036120554381,1,0,-20.21484375,0
2012-04-20-ak-invivo-1,826.07,121.42077896009447,0.2988122723355702,0.00767524333119563,351.9448656755738,0.0011845244136958932,0.031036975320845185,0.0012197526571388958,5e-05,0.20312305895770272,1,0,10.9375,0
2012-05-10-ad-invivo-1,891.62,27.619562499220827,0.13450562241783512,0.0012767974341065277,142.840493368597,0.004419105648466856,0.04155259839413157,0.0005977574869045852,5e-05,0.09672050169948881,1,0,-18.359375,0
2012-06-27-ah-invivo-1,752.07,5.2388344597197705,0.03659696633407004,0.003798951996575211,128.3173271059041,0.0016438953019065569,0.01901964793745526,0.0012129185117702725,5e-05,0.07927180291000088,1,0,-35.3515625,0
2012-06-27-an-invivo-1,786.29,4.068827736501855,0.043051119267783704,0.004155150215215599,57.95001821363863,0.0015554768512448113,0.007435401753377013,0.0009668453379819612,5e-05,0.0913176474972983,1,0,-13.671875,0
2012-07-03-ak-invivo-1,928.45,1.8853753804955329,0.012530297778962793,0.0010172326122311307,11.282392495019522,0.0002496247649189816,0.0030484040217783237,2.781559315405718e-05,5e-05,0.021622684288350374,1,0,-1.904296875,0
2012-07-12-ag-invivo-1,744.95,16.239434635393348,0.15135508329949385,0.003750471052895857,50.2874125565955,0.00017308271786916138,0.010699053556105982,0.00033814868585131685,5e-05,0.07342270177674565,1,0,-1.5625,0
2012-07-12-ap-invivo-1,772.92,53.79680098764822,0.3098624628785055,0.006491044613537051,274.76765135007713,0.0011314183472882903,0.027932882396048297,0.0013282603439871542,5e-05,0.09916709994130884,1,0,-32.8125,0
2012-12-13-af-invivo-1,673.56,7.535514342013602,0.04223725103733716,0.0065539636971129415,204.36152614477095,0.0018080213635166297,0.016419609427551305,0.0012332624623859834,5e-05,0.058376273224861386,1,0,-57.03125,0
2012-12-13-ag-invivo-1,667.87,7.061602153402829,0.05466749846773768,0.004148740395894479,102.45822047850346,0.0014122430478610026,0.008398456097700253,0.0001622755200820647,5e-05,0.039352892599177396,1,0,-25.0,0
2012-12-13-ah-invivo-1,664.70,6.823985334369345,0.036895823478087994,0.006616166639614377,102.86922103180393,0.0010940273699727092,0.008729876974817547,0.0012246243965823669,5e-05,0.07794438688848074,1,0,-25.5859375,0
2012-12-13-an-invivo-1,657.91,4.458558193012667,0.030549781596917867,0.001378687228378128,35.834438055915825,0.0029913612464463734,0.005852518402871827,0.001256771411437993,5e-05,0.024870623174021396,1,0,-6.25,0
2012-12-13-ao-invivo-1,657.82,5.435481358638207,0.03746233304245429,0.001970018378635045,49.699049544654315,0.0023280692094020524,0.013516214563325786,0.0015081600329058167,5e-05,0.03312119054477755,1,0,-9.765625,0
2012-12-20-aa-invivo-1,668.32,4.195725270757472,0.03494694984590694,0.004944939140795805,61.926544628777336,0.001774255774424637,0.006397082203748482,0.0013298764071622482,5e-05,0.06259061000559793,1,0,-14.84375,0
2012-12-20-ab-invivo-1,738.71,109.33434336088949,0.278266740784194,0.006009362016431114,246.87907584805632,0.0011102966287199266,0.025354588013608785,0.0014015863938401326,5e-05,0.08794004035000394,1,0,29.6875,0
2012-12-20-ac-invivo-1,744.95,5.980561640857971,0.026612187403258103,0.0027843960684635037,54.35498975113278,0.0016410099311694143,0.008644675232817534,0.0008493183014978011,5e-05,0.046478296935625885,1,0,-10.9375,0
2012-12-20-ad-invivo-1,759.82,47.8899415032243,0.1572111340156579,0.004412827130915033,294.3089535429343,0.001908259593121686,0.03302966468114373,0.00039020270992123934,5e-05,0.06576875611297878,1,0,-45.3125,0
2012-12-20-ae-invivo-1,763.79,50.219124219442904,0.12302039243490231,0.005671668460191751,286.1135698773513,0.00197260340243488,0.03170264684231578,0.0004045686352769267,5e-05,0.08041839955915414,1,0,-40.625,0
2012-12-21-ai-invivo-1,787.12,19.552681407982867,0.06361516594917763,0.004665852291359239,178.85419634079997,0.0019037662037406692,0.021485462876613376,0.00048345538362431584,5e-05,0.09399071699069991,1,0,-37.5,0
2012-12-21-ak-invivo-1,796.83,2.4867707329904993,0.014127034477017693,0.002861628332432993,31.510428742268093,0.0003974311599786272,0.003398627675991102,0.0006089766381869961,5e-05,0.013593335235228779,1,0,-7.71484375,0
2012-12-21-am-invivo-1,806.15,2.599996979076464,0.02101317191613867,0.00727034580795839,46.67063036950735,0.0007837211245351971,0.005313358816881119,0.0011669771041571042,5e-05,0.043353864209255036,1,0,-11.328125,0
2012-12-21-an-invivo-1,812.70,2.6579691222796833,0.012698001151842848,0.002929056579331126,30.47330327087832,0.0006812296678529029,0.006737763075104184,0.0010815182714474752,5e-05,0.029800954358211888,1,0,-6.54296875,0
2013-01-08-aa-invivo-1,800.63,1.7775663328189109,0.013972446961601267,0.0003756860850739518,8.567002390828673,0.0011008277277909807,0.012080151644852674,0.00016354382261734982,5e-05,0.013192502003356095,1,0,-0.5859375,0
2013-01-08-ab-invivo-1,800.25,54.67466209697357,0.23802565736953032,0.00314795259301606,401.47466098307893,0.003233481691970421,0.0435481413010326,0.0004075044135951958,5e-05,0.10601409774748785,1,0,-75.78125,0
2013-02-21-ae-invivo-1,665.93,4.294576393156899,0.034907995557727986,0.004233582622423493,193.03334826738376,0.0028604383906985923,0.02541550466389188,0.0012770259072818865,5e-05,0.07075964479359434,1,0,-56.8359375,0
2013-02-21-ag-invivo-1,658.70,12.638812661345776,0.10167490092250338,0.003536770266850944,104.74966687228975,0.0016256371684299914,0.014138536979973691,0.0012702670089049608,5e-05,0.07815503514848808,1,0,-20.3125,0
2013-04-10-aa-invivo-1,623.77,7.2029389446183565,0.052641907830485446,0.002224898046101902,62.65798249994464,0.002873209337269388,0.01811955430517219,0.0015625668737142603,5e-05,0.06354491016383691,1,0,-12.5,0
2013-04-10-ac-invivo-1,684.72,2.8892039094434803,0.042548818572458055,0.00168690205106873,58.09049670735142,0.0023708232278567176,0.025109246967680687,0.0010783506078415996,5e-05,0.03482366534565852,1,0,-15.91796875,0
2013-04-17-ab-invivo-1,601.09,42.53156496468646,0.1178301462037476,0.005766038140422624,295.0137656954471,0.0021325123481165985,0.04151689070934519,0.0005865905086141213,5e-05,0.07825117767797407,1,0,-51.5625,0
2013-04-17-ac-invivo-1,597.94,6.731685804526344,0.08806361026612959,0.005063979112844126,26.766210174285348,0.00023292284379038158,0.00578185975192976,0.0016821794608443685,5e-05,0.1005180087588643,1,0,-1.953125,0
2014-01-10-ab-invivo-1,724.72,37.229218359197944,0.10586503283799303,0.007780075045963666,382.47139610277804,0.0013793118050116136,0.046984355272789,0.0006409865558835608,5e-05,0.0785213908371962,1,0,-86.328125,0
2014-01-10-ac-invivo-1,708.44,74.22028683769639,0.20628678385437968,0.008627587893593802,522.8738003484584,0.00190990847779494,0.0466834246134998,0.0007561837419108494,5e-05,0.1387768914538001,1,0,-92.96875,0
2014-01-10-ae-invivo-1,670.21,14.403635240773651,0.09273223086901464,0.0051211977513466594,205.9862062669372,0.0025386240396386116,0.0349158613586485,0.0010368267806298253,5e-05,0.09945309450696135,1,0,-51.171875,0
2014-01-16-ak-invivo-1,803.26,2.3120229511581782,0.014165489782626235,0.007112977431183025,24.30632120240236,0.0002851096309430286,0.0028600590320415394,0.0011963117586515453,5e-05,0.06057228972437009,1,0,-4.98046875,0
2014-01-23-ab-invivo-1,775.18,9.42831561175426,0.02245143576125526,0.004590365440336478,128.9209928230727,0.0007476859066578753,0.019558383033876983,0.0004929147142214529,5e-05,0.046163540057852684,1,0,-31.0546875,0
2014-03-19-ad-invivo-1,681.98,69.19466420583639,0.28937604092101327,0.005436432922197562,254.4826491240454,0.0007254371985574933,0.036799673733767815,0.001461516458690337,5e-05,0.1345471235735028,1,0,-13.28125,0
2014-03-19-ae-invivo-1,658.18,38.918760336221055,0.2480858206656654,0.006995540776795987,411.2324502457813,0.0027246186835932426,0.039877654952964255,0.0007615925807794004,5e-05,0.11699947193460858,1,0,-92.1875,0
2014-03-19-ah-invivo-1,635.84,56.35167256285228,0.1974715379528175,0.008122840328769889,490.68725182631624,0.002556101071369759,0.04295686924634884,0.0006702491128007129,5e-05,0.14452268285972655,1,0,-100.78125,0
2014-03-19-ai-invivo-1,653.30,88.77458424718674,0.2913937065789225,0.008559140638147009,523.4583656536372,0.0020914527733905917,0.05330893165423518,0.0006656765294200293,5e-05,0.1121355388450789,1,0,-78.125,0
2014-03-19-aj-invivo-1,669.86,32.547605273546935,0.24569408493445533,0.006333310868346221,420.54333434151465,0.0029116982298775925,0.05261708908679186,0.000955259893244461,5e-05,0.0877717308089366,1,0,-101.5625,0
2014-03-25-aa-invivo-1,870.98,21.701016139817888,0.09601726399652669,0.0061302790825722864,245.39704801461176,0.001301596468118907,0.024459929583633085,0.0007199971612111122,5e-05,0.07336629511623921,1,0,-58.203125,0
2014-03-25-af-invivo-1,837.70,37.66383751511725,0.19282084711553746,0.00555875528384848,319.58811665224687,0.001275810227406197,0.027912724555333453,0.000760550625440423,5e-05,0.057220892935923987,1,0,-65.625,0
2014-06-06-ac-invivo-1,800.02,82.92925558245138,0.2497281199063106,0.005880579156752434,401.0507428419596,0.0027642000956200155,0.05311797215939616,0.0005758934406361171,5e-05,0.15716477898840991,1,0,-43.75,0
2014-06-06-ag-invivo-1,800.12,63.10829705951355,0.5313050862748335,0.014551801376008174,617.8190914088805,0.002309159730512894,0.08557260433185349,0.0009675638720757884,5e-05,0.157597675961733,1,0,-134.375,0
2014-12-03-ai-invivo-1,858.50,34.062575827557275,0.3244570611395585,0.009307175634257267,461.2788968601441,0.004564993397401373,0.07639834043122896,0.0006210470513751461,5e-05,0.10378765388066478,1,0,-112.5,0
2014-12-11-aa-invivo-1,651.29,29.028405021923344,0.3825449567612229,0.007178159142841711,259.88530639963346,0.002849966390513067,0.05462045229601373,0.001034077423597146,5e-05,0.17410022405788272,1,0,-54.6875,0
2014-12-11-ad-invivo-1,650.07,6.884193252440972,0.12510379916603306,0.005008289539649045,111.76045965688945,0.0018841291686810305,0.028069496213988514,0.0014575051585428442,5e-05,0.11311048180087768,1,0,-28.90625,0
2015-01-15-ab-invivo-1,708.70,45.11066366134594,0.38303559367261186,0.014257361607980792,437.9661974380556,0.0014288922816903318,0.06147450143409089,0.0009721128113178723,5e-05,0.13023113883921994,1,0,-96.875,0
2015-01-20-ab-invivo-1,747.35,2.388006758171008,0.04604558565702951,0.005827430065263895,125.51425676781497,0.0026078497201184134,0.03272799564836669,0.001364895860475949,5e-05,0.07268248248113407,1,0,-36.9140625,0
2015-01-20-ac-invivo-1,749.16,3.0637076562911862,0.03614825238448881,0.003883782874452756,40.161166949813975,0.002202485177642824,0.018845842699376066,0.00101113349535811,5e-05,0.09127789085916423,1,0,-8.984375,0
2015-01-20-ae-invivo-1,775.45,10.29173021176557,0.12655544624224535,0.007207178110979882,356.19007281857216,0.0021576432183898955,0.037637466792490214,0.0010720005959728154,5e-05,0.10362783146005822,1,0,-102.734375,0
2015-01-20-af-invivo-1,778.15,17.378611201243178,0.23733970507482374,0.006486977712037014,233.29425266638526,0.004091687236986899,0.06085998445463738,0.000939007715699555,5e-05,0.09870585687859545,1,0,-57.8125,0
2015-01-20-ag-invivo-1,778.50,18.074393165629118,0.26697189669231935,0.00593458122152588,228.01386728096296,0.0017130481512641327,0.03107439409618255,0.0007940405766277281,5e-05,0.17340279542084203,1,0,-55.46875,0
2017-07-18-ah-invivo-1,816.18,4.492478880802049,0.030680049206572385,0.0005510176207879538,11.010435284946723,0.0012660814616981633,0.01178076926186549,0.00010480712226888011,5e-05,0.05347128935359713,1,0,1.171875,0
2017-07-18-ai-invivo-1,817.53,4.836173387076376,0.045960408902420334,0.0005713395854796994,19.082872790172893,0.0017648069889998111,0.024310257773158105,0.00037992426067294776,5e-05,0.021943818745769235,1,0,-2.5390625,0
2017-07-18-aj-invivo-1,818.98,62.59548468438461,0.26688797342324944,0.0063976464842525225,344.9549845381489,0.0006269389203256706,0.03293495593748591,0.00048458937953982373,5e-05,0.08847603129712459,1,0,-48.4375,0
2018-01-10-al,822.43,6.53045784849496,0.04775232669380623,0.0026516323266361636,20.951337676488997,0.0003847221180840419,0.010612076919916584,0.0004011848987451825,5e-05,0.04680080962913549,1,0,-0.09765625,0
2018-01-12-af,646.31,27.48409535758441,0.08227841893216324,0.0027716752344402046,72.69113348986389,0.0013786805385745632,0.016862211859240812,0.0010001738040759057,5e-05,0.06089361213522074,1,0,5.46875,0
2018-05-08-aa-invivo-1,643.65,36.66788911232605,0.2761728222642968,0.008335750450962152,330.2402625207435,0.0021657539780422738,0.061267082151094235,0.0010942851413418228,5e-05,0.21166065641160553,1,0,-68.75,0
2018-05-08-ab-invivo-1,646.62,66.70525377272179,0.6014654520860893,0.005682795376896054,328.0465980625613,0.0018232550753180029,0.04285055399319472,0.0008614237691425047,5e-05,0.14722960394613727,1,0,-37.5,0
2018-05-08-ac-invivo-1,655.16,35.32000871480389,0.3365254255760804,0.006773219307007808,139.23166556708537,0.0004350491142382615,0.028336890851257814,0.0013549977866199972,5e-05,0.1531910034411788,1,0,-12.5,0
2018-05-08-ad-invivo-1,655.66,44.994381556842654,0.19669554141031478,0.0024283512437206743,141.095538216996,0.0029968871016672104,0.02854441957520095,0.0008373923698767412,5e-05,0.09984229479810541,1,0,-0.390625,0
2018-05-08-ae-invivo-1,649.48,29.440282257876536,0.20187894939938322,0.003910493647611037,170.6160808403345,0.002189542336415837,0.023659851558652537,0.0012411447920718413,5e-05,0.13017188827086204,1,0,-25.78125,0
2018-05-08-af-invivo-1,649.93,41.849999531343975,0.1321076268905854,0.005247549139762549,228.20359643155803,0.0014814184541785556,0.03146522655516732,0.0007194589371705152,5e-05,0.06178008977229985,1,0,-31.25,0
2018-05-08-ai-invivo-1,653.62,10.138859439469913,0.07120649009901325,0.0012599754975274313,40.34961621751716,0.002732542446016812,0.020965165142253595,0.0012116953449501555,5e-05,0.05439205810249403,1,0,-2.34375,0
2018-06-25-ad-invivo-1,840.79,53.73684452063702,0.20723257836298822,0.004183392310755976,320.2100292094566,0.002866651353007955,0.0395999028455445,0.0007822294882607358,5e-05,0.08412895082192787,1,0,-48.4375,0
2018-06-26-ah-invivo-1,778.22,6.7030268550774705,0.03411444233357541,0.0008151238083306839,16.681124499669373,0.0013215872640159583,0.018400215572245908,0.0007865435959385299,5e-05,0.20576299372883206,1,0,1.7578125,0
2020-08-12-aa-invivo-1,746.68,44.46101827995927,0.10608253717763608,0.004483234258750945,235.04483921079955,0.002487994738557078,0.034546003745272565,0.0008508121416945411,5e-05,0.11742964965342849,1,0,-29.296875,0
